SPID,Date,Claim Outcome,Promoter Score,Promoter Reason,Other,Data Supplier,Comments
SNP103047728,"Sunday, 26 July 2020",Declined,2,CPT,,4, 
SNP1031213729,"Saturday, 6 February 2021",Settled,9,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP10312816442,"Saturday, 13 February 2021",Settled,5,CPT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP103288081378,"Wednesday, 24 February 2021",Settled,9,CPT,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP103403254606,"Tuesday, 28 April 2020",Declined,0,CPF,,3, 
SNP10354047210,"Tuesday, 21 July 2020",Settled,9,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP10375623062,"Friday, 11 December 2020",Settled,6,CSE,,4, 
SNP104061651,"Saturday, 6 February 2021",Settled,5,CPT,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP10414490402,"Tuesday, 5 May 2020",Settled,6,COT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP10420052185,"Saturday, 16 May 2020",Settled,6,CSE,,4, 
SNP104396908635,"Thursday, 8 April 2021",Settled,5,CPF,,4, 
SNP10464898247,"Tuesday, 27 April 2021",Declined,3,CSE,,4, 
SNP1048448531,"Saturday, 12 September 2020",Settled,10,CPF,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP10533698694,"Tuesday, 26 January 2021",Settled,9,COT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP10564052202,"Wednesday, 15 July 2020",Settled,5,CSE,,4, 
SNP106001599,"Thursday, 16 April 2020",Settled,9,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP106074056,"Friday, 4 September 2020",Settled,7,CPT,,4, 
SNP106084168,"Saturday, 18 April 2020",Settled,7,CPF,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP106126010976,"Sunday, 21 March 2021",Settled,9,OOO,"Ultrices senectus aenean himenaeos pretium praesent lacinia suspendisse tristique, velit diam class eleifend nostra viverra volutpat, ut sed suscipit ac augue sollicitudin ad netus sed ullamcorper neque interdum donec auctor nostra himenaeos",4, 
SNP106220536493,"Thursday, 25 February 2021",Settled,9,COT,,3, 
SNP107077820,"Wednesday, 22 April 2020",Settled,6,CPF,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP10712001723,"Thursday, 22 October 2020",Declined,4,COT,,3, 
SNP10943263722,"Saturday, 26 September 2020",Declined,2,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP10944892397,"Friday, 1 May 2020",Settled,10,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP110086394,"Wednesday, 17 March 2021",Settled,5,CSE,,4, 
SNP11067267853,"Thursday, 19 November 2020",Settled,9,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP11116005144,"Thursday, 15 October 2020",Declined,3,CPF,,4, 
SNP112007859,"Sunday, 12 July 2020",Declined,2,COT,,4, 
SNP11211262344,"Friday, 5 March 2021",Declined,5,CPT,,3, 
SNP112129640099,"Wednesday, 17 June 2020",Declined,2,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP11228829563,"Wednesday, 20 January 2021",Settled,6,OOO,"Amet aptent consectetur scelerisque varius tincidunt molestie adipiscing, vulputate et euismod bibendum vel mi faucibus pellentesque, platea lorem integer dui ipsum dapibus",3, 
SNP112460897036,"Saturday, 2 January 2021",Settled,7,CPF,,4, 
SNP11254015332,"Monday, 29 June 2020",Declined,3,COT,,3, 
SNP112603419,"Saturday, 24 October 2020",Settled,7,COT,,4, 
SNP11276802732,"Wednesday, 10 February 2021",Declined,9,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",3, 
SNP113027127,"Wednesday, 3 June 2020",Settled,7,COT,,3, 
SNP11314425224,"Wednesday, 10 February 2021",Settled,7,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",3, 
SNP11325227343,"Sunday, 15 November 2020",Settled,9,CPF,,4, 
SNP11350439014,"Wednesday, 3 June 2020",Declined,1,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4, 
SNP114089048,"Saturday, 3 October 2020",Settled,5,COT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP11444857794,"Tuesday, 19 January 2021",Declined,3,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4, 
SNP11467283638,"Saturday, 2 January 2021",Settled,5,CPT,,4, 
SNP115016033,"Monday, 15 February 2021",Settled,6,CPT,,3, 
SNP115022921,"Monday, 14 September 2020",Settled,7,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP115054164,"Friday, 18 September 2020",Settled,9,OOO,"Ornare hac libero sagittis tortor purus nibh nisl dictum, porttitor vivamus pretium quam urna primis fusce dapibus tempor, inceptos amet tempus nisi morbi elit amet",4, 
SNP115157552297,"Friday, 4 December 2020",Settled,7,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP11564825799,"Saturday, 9 May 2020",Settled,10,CPT,,4, 
SNP116064966,"Friday, 16 October 2020",Declined,1,CPF,,3, 
SNP116105025466,"Sunday, 15 November 2020",Settled,10,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP116108021584,"Tuesday, 16 February 2021",Declined,7,CSE,,4, 
SNP11643237113,"Saturday, 12 September 2020",Settled,10,CSE,,3, 
SNP117057602,"Sunday, 26 April 2020",Settled,5,OOO,"Praesent metus ipsum augue aptent sit leo ad sem urna hendrerit proin pellentesque ad dictumst mauris, pulvinar accumsan rutrum vestibulum conubia curae fermentum class pharetra fusce nostra quam sagittis",4, 
SNP117070606,"Thursday, 16 April 2020",Declined,4,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",3, 
SNP1171015396,"Friday, 30 October 2020",Settled,7,CSE,,3, 
SNP11713504605,"Thursday, 3 September 2020",Settled,9,CPT,,4, 
SNP11821619702,"Sunday, 1 November 2020",Declined,4,OOO,"Bibendum integer lorem est ad eleifend fermentum vulputate laoreet ligula, quisque pharetra potenti cursus ut imperdiet lectus feugiat, neque integer luctus mattis volutpat nisi quam adipiscing",4, 
SNP11925222578,"Friday, 26 February 2021",Settled,7,COT,,4, 
SNP1193670345,"Monday, 4 January 2021",Settled,7,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP1196025598,"Monday, 8 March 2021",Declined,5,CSE,,3, 
SNP11980080079,"Friday, 2 April 2021",Declined,3,CSE,,4, 
SNP120024612,"Saturday, 13 February 2021",Settled,5,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4, 
SNP12028876498,"Sunday, 21 February 2021",Settled,7,CSE,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP1207293844,"Thursday, 11 June 2020",Declined,4,CSE,,3, 
SNP121004695,"Tuesday, 23 June 2020",Declined,1,CSE,,3, 
SNP121042808,"Monday, 18 May 2020",Settled,10,CPT,,3, 
SNP121071734,"Saturday, 27 March 2021",Settled,6,COT,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP12131526905,"Saturday, 3 April 2021",Processing,6,CPF,,3, 
SNP1213606344,"Monday, 8 March 2021",Settled,9,COT,,4, 
SNP12150466346,"Monday, 15 June 2020",Declined,4,CPF,,4, 
SNP12187524870,"Thursday, 4 March 2021",Declined,9,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP12210854708,"Wednesday, 8 July 2020",Settled,6,CPF,,4, 
SNP12210880290,"Sunday, 4 April 2021",Declined,9,CPF,,3, 
SNP12216284245,"Friday, 7 August 2020",Declined,3,CPF,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP12219228392,"Wednesday, 16 December 2020",Settled,7,OOO,"Vel aliquam pulvinar inceptos senectus a ullamcorper feugiat elit elementum sem hendrerit, egestas posuere sociosqu pretium curabitur vestibulum etiam posuere imperdiet mauris",3, 
SNP123140081024,"Sunday, 8 November 2020",Declined,0,CSE,,4, 
SNP124033929,"Friday, 9 April 2021",Settled,9,CPF,,3, 
SNP12420080639,"Monday, 5 April 2021",Declined,2,COT,,4, 
SNP12450463260,"Tuesday, 26 May 2020",Settled,5,CSE,,3, 
SNP1247079297,"Sunday, 27 September 2020",Settled,7,CSE,,4, 
SNP12481042555,"Friday, 26 March 2021",Settled,9,CSE,,4, 
SNP1249687701,"Monday, 6 April 2020",Settled,9,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP125062761,"Monday, 7 December 2020",Settled,6,CPF,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP125092374,"Monday, 28 September 2020",Settled,7,CPT,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP125108084290,"Friday, 29 January 2021",Settled,5,CPT,,4, 
SNP12521683407,"Saturday, 13 February 2021",Settled,7,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP12522405402,"Thursday, 1 April 2021",Declined,4,COT,,3, 
SNP12527061875,"Saturday, 1 August 2020",Settled,7,OOO,"Ultrices senectus aenean himenaeos pretium praesent lacinia suspendisse tristique, velit diam class eleifend nostra viverra volutpat, ut sed suscipit ac augue sollicitudin ad netus sed ullamcorper neque interdum donec auctor nostra himenaeos",4, 
SNP12550426619,"Wednesday, 10 June 2020",Settled,10,OOO,"Fringilla eleifend libero fames neque vestibulum bibendum diam ut libero lorem, viverra egestas elementum varius cubilia conubia et diam himenaeos, urna leo odio nisi consequat vestibulum leo iaculis nunc",3, 
SNP126018235,"Monday, 6 April 2020",Settled,6,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP126071178,"Wednesday, 3 June 2020",Declined,2,COT,,4, 
SNP1263279145,"Friday, 5 February 2021",Settled,5,CPF,,4, 
SNP1263684838,"Tuesday, 11 August 2020",Settled,6,CSE,,4, 
SNP12638425892,"Wednesday, 29 July 2020",Declined,3,COT,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP127096457,"Wednesday, 15 July 2020",Settled,7,COT,,3, 
SNP127162026383,"Tuesday, 4 August 2020",Declined,2,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",4, 
SNP127226802968,"Saturday, 2 May 2020",Declined,3,OOO,"Nibh diam imperdiet interdum non lobortis praesent, urna vehicula faucibus hac netus class senectus, bibendum viverra proin velit quisque mi rutrum tristique eget aptent quisque suspendisse mi placerat vehicula dolor",4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP1277290816,"Thursday, 22 October 2020",Settled,7,CSE,,3, 
SNP12778430971,"Thursday, 2 July 2020",Settled,7,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP128081502,"Thursday, 11 February 2021",Declined,7,OOO,"Bibendum integer lorem est ad eleifend fermentum vulputate laoreet ligula, quisque pharetra potenti cursus ut imperdiet lectus feugiat, neque integer luctus mattis volutpat nisi quam adipiscing",4, 
SNP128129666449,"Friday, 16 April 2021",Settled,10,CSE,,4, 
SNP129085238,"Monday, 13 July 2020",Declined,3,CPF,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP129108032458,"Friday, 16 April 2021",Declined,7,OOO,"Est donec commodo sociosqu taciti vel augue luctus fames et ac praesent nec, quisque molestie sociosqu quam inceptos in bibendum egestas in pretium sit",4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP129115214421,"Friday, 17 July 2020",Declined,0,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP12914417417,"Tuesday, 23 June 2020",Settled,6,CPT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP130010455,"Monday, 19 October 2020",Settled,7,OOO,"Fringilla eleifend libero fames neque vestibulum bibendum diam ut libero lorem, viverra egestas elementum varius cubilia conubia et diam himenaeos, urna leo odio nisi consequat vestibulum leo iaculis nunc",4, 
SNP130035956,"Monday, 27 April 2020",Declined,3,OOO,"Ornare hac libero sagittis tortor purus nibh nisl dictum, porttitor vivamus pretium quam urna primis fusce dapibus tempor, inceptos amet tempus nisi morbi elit amet",4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP130065094,"Friday, 26 June 2020",Settled,6,CSE,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP130066476,"Tuesday, 7 April 2020",Settled,9,COT,,4, 
SNP130069632,"Sunday, 3 May 2020",Declined,4,CPF,,4, 
SNP130102498546,"Thursday, 13 August 2020",Settled,5,CSE,,4, 
SNP130170102516,"Thursday, 6 August 2020",Settled,5,CSE,,4, 
SNP131048050,"Tuesday, 2 March 2021",Settled,6,CPF,,3, 
SNP131100879951,"Tuesday, 11 August 2020",Declined,2,OOO,"Est donec commodo sociosqu taciti vel augue luctus fames et ac praesent nec, quisque molestie sociosqu quam inceptos in bibendum egestas in pretium sit",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP1318184905,"Monday, 11 May 2020",Settled,7,CPF,,3, 
SNP132045277,"Tuesday, 14 April 2020",Settled,5,CPT,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP132070587,"Saturday, 4 April 2020",Settled,5,COT,,4, 
SNP13219279948,"Wednesday, 27 January 2021",Settled,5,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP13360085183,"Sunday, 7 June 2020",Declined,0,CPT,,3, 
SNP13367224563,"Tuesday, 8 September 2020",Settled,9,COT,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP134047255,"Wednesday, 13 May 2020",Declined,2,CPT,,3, 
SNP135052026,"Saturday, 20 June 2020",Declined,0,CPT,,3, 
SNP136007346,"Friday, 26 March 2021",Settled,7,OOO,"Ultrices senectus aenean himenaeos pretium praesent lacinia suspendisse tristique, velit diam class eleifend nostra viverra volutpat, ut sed suscipit ac augue sollicitudin ad netus sed ullamcorper neque interdum donec auctor nostra himenaeos",4, 
SNP137002009,"Sunday, 1 November 2020",Settled,10,OOO,"Ultrices senectus aenean himenaeos pretium praesent lacinia suspendisse tristique, velit diam class eleifend nostra viverra volutpat, ut sed suscipit ac augue sollicitudin ad netus sed ullamcorper neque interdum donec auctor nostra himenaeos",3, 
SNP1376444548,"Friday, 22 January 2021",Settled,9,CSE,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP13775612418,"Monday, 21 December 2020",Settled,6,CPT,,4, 
SNP138004757,"Monday, 15 February 2021",Declined,9,CSE,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP138025383,"Monday, 29 June 2020",Declined,3,CSE,,3, 
SNP138291692884,"Friday, 12 March 2021",Declined,4,OOO,"Placerat ullamcorper ultricies accumsan tempor porta et, sapien faucibus augue praesent metus ultrices, ante condimentum id molestie facilisis curabitur viverra et mauris curabitur orci arcu leo ullamcorper laoreet",3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP13857605644,"Thursday, 4 June 2020",Declined,3,CPT,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP13864053584,"Thursday, 18 March 2021",Settled,6,COT,,3, 
SNP139006846,"Monday, 11 May 2020",Settled,9,CPT,,3, 
SNP139100853057,"Saturday, 9 May 2020",Declined,4,CPF,,4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP14014451110,"Sunday, 24 May 2020",Settled,10,COT,,4, 
SNP140196083028,"Wednesday, 4 November 2020",Declined,1,CPT,,4, 
SNP14031552518,"Thursday, 17 December 2020",Settled,5,CPT,,4, 
SNP14084086415,"Wednesday, 1 July 2020",Settled,10,CPT,,3, 
SNP1409022946,"Tuesday, 17 November 2020",Declined,0,CPT,,4, 
SNP141113422235,"Saturday, 20 June 2020",Declined,1,CPF,,4, 
SNP1413600322,"Sunday, 29 November 2020",Settled,10,CPT,,3, 
SNP141460881558,"Wednesday, 9 December 2020",Settled,10,CPT,,3, 
SNP1414870027,"Sunday, 12 April 2020",Settled,9,OOO,"Bibendum integer lorem est ad eleifend fermentum vulputate laoreet ligula, quisque pharetra potenti cursus ut imperdiet lectus feugiat, neque integer luctus mattis volutpat nisi quam adipiscing",3, 
SNP14156054298,"Saturday, 19 September 2020",Settled,5,COT,,4, 
SNP142080607,"Tuesday, 30 June 2020",Settled,5,CSE,,3, 
SNP14238425738,"Friday, 28 August 2020",Declined,0,CPT,,3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP14286449653,"Sunday, 26 July 2020",Settled,7,CPF,,3,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP14310890319,"Friday, 16 April 2021",Declined,9,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP14333656827,"Saturday, 12 December 2020",Settled,5,CPT,,3, 
SNP14367281437,"Sunday, 18 April 2021",Settled,9,CPT,,4,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP1439061177,"Thursday, 25 June 2020",Settled,9,OOO,"Placerat class bibendum leo etiam consectetur iaculis consectetur suspendisse, etiam ad congue litora neque purus porttitor nunc, primis luctus arcu erat aenean etiam curabitur litora sed maecenas condimentum",4,"Mi placerat praesent lorem sollicitudin nostra condimentum ipsum quisque euismod est, bibendum maecenas velit a erat fusce consequat eros euismod, sed posuere dui conubia semper potenti nisi mollis vivamus viverra rhoncus ac rhoncus nisl"
SNP14394554716,"Saturday, 24 October 2020",Declined,2,CSE,,3, 
SNP14419276218,"Friday, 29 January 2021",Settled,6,CPF,,3, 
SNP14424519360,"Tuesday, 2 March 2021",Settled,5,COT,,4, 
SNP14432417472,"Wednesday, 29 July 2020",Settled,9,CSE,,4, 
SNP14432462388,"Tuesday, 12 May 2020",Settled,10,OOO,"Fringilla eleifend libero fames neque vestibulum bibendum diam ut libero lorem, viverra egestas elementum varius cubilia conubia et diam himenaeos, urna leo odio nisi consequat vestibulum leo iaculis nunc",4, 
SNP1448456491,"Wednesday, 3 March 2021",Settled,4,CPF,,3, 
SNP145009152,"Wednesday, 6 January 2021",Declined,1,OOO,"Bibendum integer lorem est ad eleifend fermentum vulputate laoreet ligula, quisque pharetra potenti cursus ut imperdiet lectus feugiat, neque integer luctus mattis volutpat nisi quam adipiscing",3, 
SNP14519223432,"Sunday, 12 April 2020",Settled,6,OOO,"Aptent torquent auctor tempor turpis scelerisque felis aenean massa risus, rutrum arcu nullam dictum inceptos malesuada aptent sit eros, adipiscing rhoncus mi ligula ante porta nostra inceptos",3,"Arcu curae curabitur tempus aliquet pulvinar per id etiam senectus, tellus sodales convallis curabitur tincidunt ultrices sagittis elementum imperdiet lacinia urna class eleifend nisi dictum ac aliquam integer magna tortor"
SNP145243098199,"Wednesday, 30 September 2020",Declined,3,CPT,,3, 
